Group,Model,tmse,Spearman Average,Spearman Q1,Spearman Median,Spearman Q3,Pearson Average,Pearson Q1,Pearson Median,Pearson Q3
Group1,classical_300_layer3,3.2671078751039165e-07,0.9539071387127109,0.9446335995766726,0.9610703820358769,0.9723265859411765,0.9173456009858743,0.8991854870203344,0.9349091958015856,0.9569705039696776
Group1,qh8_300_layer3,3.4795565806381004e-07,0.954931843336288,0.9466459460697523,0.9620032751977513,0.9726656831213305,0.9178601754217357,0.9008011668768755,0.9364189406733774,0.9577399350330895
Group1,ensemble_qh8_300_layer3,3.073670273286621e-07,0.9574179915861281,0.949033141862446,0.9641615881997565,0.9743946296945646,0.9241386789294481,0.9083078795675381,0.9412187118799076,0.9614985274685791
Group2,classical_1200_layer3,3.105050946289089e-07,0.9574955091195296,0.948397229886056,0.9647541639936539,0.9757623575343413,0.9228133239741145,0.9052492732012436,0.9408181526654865,0.9624759384340567
Group2,qh8_1200_layer3,3.345550607424363e-07,0.9591547229906608,0.9512125000231093,0.9658293569384212,0.976215445729065,0.9245800839411311,0.9088059760276985,0.942611820241898,0.96309234524048
Group2,ensemble_qh8_1200_layer3,2.9027682129050126e-07,0.9614534446788934,0.9534217497041453,0.9682764210206725,0.9781499805981917,0.9311196437385485,0.915880763391562,0.9483595434216177,0.9669456948809894
Group3,classical_2100_layer3,2.9802074475537807e-07,0.9588129497690209,0.9498207546142716,0.9660741155230279,0.9771610029615229,0.9256623095684382,0.9077263337193757,0.9434935246075761,0.9643867459048368
Group3,qh2_2100_layer3,3.9458475407203466e-07,0.9610057840509924,0.9532249841468019,0.9678090747052803,0.9779992535079884,0.9264426086461092,0.9100119503812932,0.9443301143923425,0.9651020257991165
Group3,ensemble_qh2_2100_layer3,2.9552521011471837e-07,0.9631767683562297,0.9555928017546051,0.9697697789056637,0.9797797396645056,0.933776702831761,0.9185246106037404,0.9505627035103954,0.9695195232805718
Group4,classical_300_layer2,3.4183631486548955e-07,0.9540192557211389,0.9446865185473682,0.9608269052647403,0.9721706442940914,0.9158208851230417,0.8976666022536816,0.9334736058519277,0.956485588804054
Group4,qh2_300_layer2,3.524090580077052e-07,0.954044382663472,0.9450498921243036,0.9607202867318129,0.9720973611281436,0.9155828950281345,0.8966466829144903,0.9337554169672234,0.9563469822005262
Group4,ensemble_qh2_300_layer2,3.1689797694563007e-07,0.9563958777868179,0.9477693374606081,0.9630666134221069,0.973814219830599,0.9213980555800168,0.9039655861081404,0.9385480118694232,0.9601596867297388
Group5,classical_1200_layer2,3.1662190861105123e-07,0.9575419171522725,0.9492346567030316,0.9643341523381899,0.9748422681278517,0.9223939417735417,0.9040959713809081,0.9396652085438356,0.9612764187177016
Group5,qh8_1200_layer2,3.425295516185715e-07,0.9578072052687359,0.9496256755454843,0.9643193888872111,0.9747463344551253,0.9218247446091786,0.9044326029925153,0.9396882533100777,0.9612676387489475
Group5,ensemble_qh8_1200_layer2,2.974129277878698e-07,0.9597755350008482,0.9517173732766129,0.9663596990449871,0.9763883262124895,0.9275897141687378,0.9107741327943529,0.9448178000505444,0.9650077608330232
Group6,classical_2100_layer2,3.095003221474369e-07,0.9586726273631355,0.9506111692788748,0.9652760777658154,0.975774213281847,0.9244358357804289,0.9078294251722641,0.9417220190166683,0.9622046284658712
Group6,qh2_2100_layer2,3.586297878347529e-07,0.9592840691287369,0.9513276072197241,0.9659427029378792,0.9760602261291511,0.9239057686338004,0.9075901224403166,0.9419566697819484,0.9630449531487781
Group6,ensemble_qh2_2100_layer2,2.9622585013536643e-07,0.9610451073620263,0.9532670333803535,0.9674526874225954,0.9774894810155002,0.929672451550031,0.9141247949965394,0.9468709066400248,0.9664641320763887
Group7,classical_2048_layer1,5.412029159574815e-07,0.939293832946923,0.9286012015357931,0.9485311506350623,0.9619528818515136,0.8841510606839512,0.8592013463533931,0.9085231416234522,0.9385112879328201
Group7,qh2_2048_layer1,1.3421183073211789e-06,0.9382833868564147,0.9265804390334385,0.9460979482151464,0.96043664852613,0.8875672990102744,0.8624512552416148,0.910496063140916,0.9399106238207738
Group7,ensemble_qh2_2048_layer1,6.356592881649862e-07,0.9419886726084948,0.9313964833940447,0.9499713954285682,0.9634837245637569,0.8937906736797673,.8702935075021839,0.9159324660568351,0.943859538539281
